 ID-EVENTO;TITULO;PRECIO;GRATUITO;LARGA-DURACION;DIAS-SEMANA;DIAS-EXCLUIDOS;FECHA;FECHA-FIN;HORA;DESCRIPCION;CONTENT-URL;TITULO-ACTIVIDAD;URL-ACTIVIDAD;URL-INSTALACION;NOMBRE-INSTALACION;ACCESIBILIDAD-INSTALACION;CLASE-VIAL-INSTALACION;NOMBRE-VIA-INSTALACION;NUM-INSTALACION;DISTRITO-INSTALACION;BARRIO-INSTALACION;CODIGO-POSTAL-INSTALACION;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TIPO;AUDIENCIA
12661839;"39 Muestra del Libro Infantil y Juvenil";"";"0";"1";"L,M,X,J,V";"";"2025-01-27 00:00:00.0";"2025-02-12 23:59:00.0";"08:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3bd17f84b5394910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=74703d0b5e71c010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal María Zambrano (Tetuán)";"1,6";"PLAZA";"DONOSO";"5";"TETUAN";"ALMENARA";"28029";"440857";"4480052";"40.46903299144094";"-3.6976620067964996";"/contenido/actividades/Exposiciones";"/usuario/Niños"
12651622;"3CLONWS";"";"0";"1";"V,S";"";"2025-03-21 00:00:00.0";"2025-03-22 23:59:00.0";"19:00";"Un espectáculo que comienza con cajas improvisadas, un círculo trazado en el suelo y, en el centro, una mesa rodeada por tres actores. Los espectadores van entrando. ¿La función ha empezado ya? Los actores se transforman en payasos: Monsieur Lô, el payaso blanco, acompañado por los augustos Marcel y Airbus, que reinventan clásicos en un homenaje a los payasos de siempre. Pelucas, enormes zapatos, cáscaras de plátano, pasteles de crema, dátiles trucados, doma, fanfarrias, peleas a gritos, malabares, travesuras, destellos, piruetas, melancolía, oportunismo, glotonería, poder, descaro y una pizca de arrogancia? ¡todo con una vuelta de tuerca más!.  Más información";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc8d040e7c784910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=432257258ae5d010VgnVCM1000000b205a0aRCRD";"Teatro Circo Price";"1";"RONDA";"ATOCHA";"35";"ARGANZUELA";"PALOS DE LA FRONTERA";"28012";"440722";"4473051";"40.40596936645757";"-3.698589986849812";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12518159;"A la fresca";"21 euros";"0";"1";"M,X,J,V,S,D";"";"2025-02-06 00:00:00.0";"2025-02-23 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=cd729f45bf9e1910VgnVCM1000001d4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=835295423e700910VgnVCM2000001f4a900aRCRD";"Nave 10 Matadero. Creación Dramática Contemporánea";"1,6";"PASEO";"CHOPERA";"14";"ARGANZUELA";"CHOPERA";"28045";"440828";"4471551";"40.39245798191536";"-3.6972067902718897";"/contenido/actividades/ProgramacionDestacadaAgendaCultura";""
12667341;"A Magic Treasure";"";"1";"0";"";"";"2025-02-21 00:00:00.0";"2025-02-21 23:59:00.0";"18:00";"Teatro en Inglés: 'A Magic Treasure'. A cargo de la cía Zumo Animaciones. Great Captain ha encomendado una gran misión a nuestra capitana: formar una gran tripulación de grumetes intrépidos y divertidos para ir en busca del tesoro mágico más sorprendente de los siete mares. Con ayuda de los niños tendrá que superar un montón de aventuras y aprender por el camino para llegar hasta la isla del Pulpo. La capitana tendrá que contar todos los pájaros que sobrevuelan el mar, encontrar peces de muchos colores diferentes, resistir frente a una gran tormenta y remar hasta los mares jamás conocidos. Al final de su aventura? descubrirá que el mayor tesoro es el que ha llevado consigo desde el inicio de la misión: la amistad y compañía de todos sus nuevos grumetes. Duración: 50 minutos. Edad recomendada: de 3 a 8 años.";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=4f40a53706894910VgnVCM1000001d4a900aRCRD";"Actividades Centro Sociocultural Tetuán";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=ac84dff0d2c6e710VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0ecb1e79ee71c010VgnVCM1000000b205a0aRCRD";"Centro Sociocultural Tetuán";"1";"CALLE";"BRAVO MURILLO";"251";"TETUAN";"BERRUGUETE";"28020";"440628";"4478947";"40.45907909580629";"-3.7002532146213043";"";"/usuario/Niños"
12534372;"A toda vela";"8 euros por alumno (Grupos mínimo 20 alumnos). El pago se realizará por transferencia por el total.  Más información y reserva de tu visita para el curso 2024-25 en el correo info@casalector.es .";"0";"1";"L,M,X,J,V";"";"2024-10-01 00:00:00.0";"2025-06-01 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=59d5e7da8b822910VgnVCM1000001d4a900aRCRD";"A toda vela";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=f1e5e7da8b822910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"";""
12638429;"Academia de hadas y duendes";"";"0";"0";"";"";"2025-03-16 00:00:00.0";"2025-03-16 23:59:00.0";"11:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=eca61387ac444910VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"/usuario/Familias"
12638428;"Academia de hadas y duendes";"";"0";"0";"";"";"2025-02-23 00:00:00.0";"2025-02-23 23:59:00.0";"11:30";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=9a961387ac444910VgnVCM2000001f4a900aRCRD";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ef686a9ee7336110VgnVCM1000000b205a0aRCRD";"Matadero Madrid";"1";"PLAZA";"LEGAZPI";"8";"ARGANZUELA";"CHOPERA";"28045";"440946";"4471422";"40.39130985242181";"-3.6958028442054074";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";"/usuario/Familias"
12534365;"Acción teatro";"Actividad gratuita con inscripción previa";"1";"1";"V";"";"2024-10-18 00:00:00.0";"2025-02-14 23:59:00.0";"11:30";"horario: de 11:30 a 13:30h (120 min.)   Curso de formación teatral para personas con o sin experiencia interpretativa que sirve para desarrollar habilidades de comunicación interpersonal, activar la creatividad, fomentar el arte dramático y convertirnos en actores y actrices presentes y verdaderos. Porque creemos que todas las personas tienen que tener un espacio seguro donde desarrollar su arte interpretativo, creando juntos entornos saludables que además mejoren indudablemente nuestra salud emocional y nuestras capacidades.    Imparte: Con Causa, Conexiones Creativas Eva Latonda y Maru García Ochoa  Más información e inscripción";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3595e7da8b822910VgnVCM1000001d4a900aRCRD";"El arte de vivir";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5f95e7da8b822910VgnVCM1000001d4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9eee15d21d5ee310VgnVCM2000000c205a0aRCRD";"Casa del Lector";"3";"PASEO";"CHOPERA";"14";"ARGANZUELA";"CHOPERA";"28045";"440828";"4471551";"40.39245798191536";"-3.6972067902718897";"/contenido/actividades/RecitalesPresentacionesActosLiterarios";""
12536930;"Acompañamiento digital a personas mayores";"";"1";"1";"L,M,X,J,V,S,D";"";"2024-10-14 00:00:00.0";"2025-06-30 23:59:00.0";"";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=5b58d89ad2232910VgnVCM2000001f4a900aRCRD";"Acompañamiento digital a personas mayores";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=3578a37147a02910VgnVCM2000001f4a900aRCRD";"";"";"";"";"";"";"";"";"";"";"";"";"";"";""
12622331;"Acompañar en la pérdida";"";"0";"1";"M";"4/2/2025;18/2/2025;25/2/2025;4/3/2025;18/3/2025;25/3/2025;/4/2025;1/4/2025;8/4/2025;15/4/2025;29/4/2025;6/5/2025;20/5/2025;27/5/2025;3/6/2025;10/6/2025;24/6/2025;";"2025-01-14 00:00:00.0";"2025-06-17 23:59:00.0";"17:00";"";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=197023e4c84d3910VgnVCM2000001f4a900aRCRD";"Acompañar en la pérdida";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=ca9671ee4a9eb410VgnVCM100000171f5a0aRCRD&vgnextoid=455023e4c84d3910VgnVCM2000001f4a900aRCRD";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=70d879262ef5d010VgnVCM1000000b205a0aRCRD";"Biblioteca Pública Municipal José Saramago (Fuencarral-El Pardo)";"1,6";"AVENIDA";"MONFORTE DE LEMOS";"38";"FUENCARRAL-EL PARDO";"EL PILAR";"28029";"439867";"4481122";"40.47860087334554";"-3.7094408342979954";"/contenido/actividades/CursosTalleres";""
